Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Desert Star Energy Center,35.7867,-114.9928,677483
Devon,41.2083,-73.1092,9681
Dickerson,39.2086,-77.4644,84545
Dighton,41.8312,-71.1239,119387
Dogwood Energy Facility,38.7931,-94.3006,810253
Donald Von Raesfeld,37.3767,-121.9508,337092
Doswell Limited Partnership,37.8181,-77.4478,2493716
Doyle Energy Facility,33.8376,-83.6996,99182
Dresden Energy Facility,40.0935,-82.0267,1756107
Dry Fork Station,44.3901,-105.4591,2858056
E B Harris Generating Plant,32.3814,-86.5736,2811036
E C Gaston,33.2442,-86.4567,3823447
E D Edwards,40.5958,-89.6631,2885599
E F Barrett,40.6169,-73.6486,870971
E W Brown,37.7889,-84.7139,1509390
"EFS Parlin Holdings, LLC",40.4586,-74.3327,14275
Eagle Point Power Generation,39.8746,-75.1592,127239
Earl F Wisdom,43.1606,-95.2569,3676
East 12th Street,37.2376,-96.9619,2365
East Bend,38.9031,-84.8511,3405481
East River,40.7281,-73.9742,2142801
Eastman Cogeneration Facility,32.4472,-94.6917,1371794
Ebensburg Power Company,40.455,-78.7472,555118
Ector County Energy Center,32.0694,-102.5856,87044
Eddystone Generating Station,39.858,-75.323,18636
Edge Moor,39.7372,-75.5033,261154
Edgewater (4050),43.715,-87.7094,2260154
Edgewood Energy,40.7861,-73.2931,97561
Edward L Addison Generating Plant,32.911,-84.3059,251827
Edwardsport Generating Station,38.8067,-87.2472,3480711
Effingham Energy Facility,32.2792,-81.2842,1088598
El Cajon Energy Center,32.7971,-116.972,8751
El Centro,32.8022,-115.54,537330
El Segundo,33.9106,-118.425,144861
"Elgin Energy Center, LLC",41.9997,-88.2445,90344
Elizabeth River Combustion Turbine Sta,36.7743,-76.3119,53188
Elk Hills Power,35.2802,-119.4699,1425811
Elk Mound Generating Station,44.9019,-91.5678,28371
Elk River,45.2958,-93.5542,27232
Elm Road Generating Station,42.8445,-87.829,5834960
Elwood Energy Facility,41.4388,-88.1236,107127
Emery Station,43.094,-93.2922,815792
Empire District Elec Co Energy Ctr,37.1385,-94.1041,231004
"Empire Generating Co, LLC",42.6296,-73.749,1439872
Emporia Energy Center,38.4464,-96.0651,277104
Encogen Generating Station,48.746,-122.486,225515
Energy Center Dover LLC,39.1467,-75.5461,61610
"Ennis Power Company, LLC",32.3194,-96.6739,644572
Equus  Power I,40.6447,-73.5683,39009
Erickson,42.6919,-84.6572,1107167
"Escondido Energy Center, LLC",33.1261,-117.1172,7534
